"id";"token";"G00Q01[SQ01]";"G02Q01";"G02Q02";"G02Q03";"G02Q04";"G03Q01";"G03Q02";"G03Q02[other]"
"74";"cvvkh";"Sí";"Sí";"La conozco y además la he usado";"Sí";"ni idea";"16";"Femenino";""
"75";"vjngy";"Sí";"Sí";"La conozco y además la he usado";"Sí";"He usado Processing y Scratch";"17";"Masculino";""
"76";"tcgcl";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Ni conozco ni he usado ninguno, más allá de los programas que utilizamos en Robótica en 3ºESO.";"16";"Femenino";""
"77";"jeery";"Sí";"Sí";"La conozco y además la he usado";"Sí";"scratch, processing";"17";"Femenino";""
"78";"zikeo";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Processing,Scratch";"16";"Femenino";""
"79";"yasnv";"Sí";"Sí";"No la conozco";"Sí";"NADA";"16";"Masculino";""
"80";"ybqdw";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Processing, Scratch";"17";"Femenino";""
"81";"jtlji";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Processing, Scratch";"17";"Femenino";""
"82";"bfftt";"Sí";"Sí";"La conozco y además la he usado";"No";"C++";"13";"Masculino";""
"83";"tutxw";"Sí";"Sí";"La conozco y además la he usado";"Sí";"SCRATCH COCODRILE SI LAS HE USADO";"14";"Femenino";""
"84";"pvuyr";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"Scratch, he utilizado más, pero no me acuerdo de los nombres.";"13";"Femenino";""
"85";"xgbjt";"Sí";"Sí";"La conozco y además la he usado";"Sí";"el codigo binario ";"15";"Masculino";""
"86";"wdcph";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"C++";"15";"Femenino";""
"87";"psxmr";"Sí";"Sí";"La conozco, pero no la he usado";"Sí";"scratch";"15";"Femenino";""
"88";"xovhw";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Conozco scratch";"13";"Femenino";""
"89";"ibfme";"Sí";"Sí";"La conozco y además la he usado";"Sí";"No me acuerdo de nada porque fue el año pasado";"14";"Masculino";""
"90";"tjknb";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"scratch";"13";"Femenino";""
"91";"arydr";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"He utilizado Scratch";"13";"Femenino";""
"92";"oodjb";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"Scratch";"14";"Masculino";""
"93";"aqitj";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch y mBlock";"13";"Femenino";""
"94";"yzdce";"Sí";"Sí";"La conozco, pero no la he usado";"Sí";"Mblock,freecad.planner5d,";"14";"Femenino";""
"95";"sbfug";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"scratch";"13";"Femenino";""
"96";"qotwo";"Sí";"No";"No la conozco";"Sí";"ROBOT";"14";"Masculino";""
"97";"wqcue";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"NI IDEA";"14";"Femenino";""
"98";"htbxz";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"NO SE";"14";"Femenino";""
"99";"gvpqw";"Sí";"Sí";"La conozco y además la he usado";"No";"Scratch
";"14";"Masculino";""
"100";"qvzic";"Sí";"No";"No la conozco";"No";"NADA";"14";"Femenino";""
"101";"lhlat";"Sí";"Sí";"La conozco y además la he usado";"No";"Si conozco scratch ";"14";"Masculino";""
"102";"cjihu";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"ROBOT";"14";"Otro";"NO BINARIO"
"103";"thtjo";"Sí";"Sí";"La conozco y además la he usado";"Sí";"java, scratch, visual studio code, ij idea";"13";"Masculino";""
